shape, chamfer_dist
ShapeNetV2/04256520/d20c3649494f2aac14bac2ebb8f636e5, 0.004953722898981848
ShapeNetV2/04256520/d21b63623023b40a593ebeeedbff73b, 0.0027045920515280427
ShapeNetV2/04256520/d255253a4af43b4d4cb1d8db6be39c65, 0.0003097477408945636
ShapeNetV2/04256520/d2711d46aac0b5ed492a9f7c65daa58d, 0.002485408404193784
ShapeNetV2/04256520/d2964213849329b494887ea54f3cfb87, 0.0007616003587724842
ShapeNetV2/04256520/d2a4faf6613ea1e66db434563c7f5ea3, 0.0002665413978880571
ShapeNetV2/04256520/d321d0c149d7762acc8bd7a04c9659f1, 0.0021493495488659285
ShapeNetV2/04256520/d377dbbf7b198ad474fedb3ee91ea4c1, 9.94702917923479e-05
ShapeNetV2/04256520/d3a550ef8b98f55b21cfc6e95839d798, 0.0002300466058498997
ShapeNetV2/04256520/d3a8b906f6909b0252899f0b4e8d8ae4, 0.0014303161161437154
ShapeNetV2/04256520/d3c677deb7e829f05728afe1a12978b, 0.00018489864735621067
ShapeNetV2/04256520/d3cc9f995b1f2b2dffcd08faf4fccd0f, 0.0003488199092323209
ShapeNetV2/04256520/d4704c12862c808b593ebeeedbff73b, 0.0004140444024194923
ShapeNetV2/04256520/d4a80e7a92e2c4f98981b7cb87854e68, 0.0007799446793780028
ShapeNetV2/04256520/d4c6f2749bd85e9a6a9633583f89b17f, 0.0007885458242381325
ShapeNetV2/04256520/d4dddfd40635a72f1cda25fa42fa5ece, 0.0007561216692338556
ShapeNetV2/04256520/d52584133659bcb24b3c42e318f3affc, 0.0016030228911970395
ShapeNetV2/04256520/d53620b3769bcbd664518692a46d31bd, 0.00781393133474812
ShapeNetV2/04256520/d5424df6acaee9762d19175e7d19b7cb, 0.00036619987965538065
ShapeNetV2/04256520/d546b9afa6d0a22fcabc196a7f35f1aa, 0.00025034797615887627
ShapeNetV2/04256520/d55d14f87d65faa84ccf9d6d546b307f, 0.0010960341090529946
ShapeNetV2/04256520/d562328792a3314519fb4103277a6b93, 0.00048408463557405516
ShapeNetV2/04256520/d58a2c86b9b71f6bef4e42d70375aed8, 0.012434548900876398
ShapeNetV2/04256520/d5931526b56b157cab610b0c94236463, 0.00038716282075674965
ShapeNetV2/04256520/d5a11602655790bcdf6cfab91d65bb91, 0.0029077086628160787
ShapeNetV2/04256520/d5a7ef075ff5e17a29f849a67b494905, 0.00013763483789665034
ShapeNetV2/04256520/d5aefefca08da17819fb4103277a6b93, 0.00043035677474770394
ShapeNetV2/04256520/d60975380ebd13746a12da8b0e0f66fa, 0.00025422449834192957
ShapeNetV2/04256520/d6176ad267c3ef92f51f77a6d7299806, 0.0013422130728356634
ShapeNetV2/04256520/d65ef2797ae836ca8930422448288ea, 0.0017500070904895066
ShapeNetV2/04256520/d669c884e2a9274b1e7ef3c0866377b2, 0.00041367189040309593
ShapeNetV2/04256520/d66ab7a970a3344e34e89adf02e34b7a, 0.00024871132745950595
ShapeNetV2/04256520/d6f7727a3e5736437b9c6deef486a7d8, 0.0005719636433275104
ShapeNetV2/04256520/d6f95d8ef06e6db3ba0604df5d71bead, 0.0003152466302366231
ShapeNetV2/04256520/d71b806ed0d2108dc149927e19d9b07, 0.00016723469938311508
ShapeNetV2/04256520/d7220a39bcedbb89a14c5748cc240cc2, 0.0020567915093769413
ShapeNetV2/04256520/d7280c7d6dbb6f20ff12919fb1541da6, 0.0003006430555322651
ShapeNetV2/04256520/d7a7bb6725ac5248febad4f49b26ec52, 0.000495624521640257
ShapeNetV2/04256520/d7aa6e5b0c686fdee039576a17a0737d, 0.00034663930081466694
ShapeNetV2/04256520/d7af346415eebe008f36404f302c9440, 0.000536426373289824
ShapeNetV2/04256520/d7b69d5015110b1e2c5b2f528cea9dd6, 0.000584579629614746
ShapeNetV2/04256520/d8142324c33dfe7595bea7c29e873d16, 0.0007226981762564774
ShapeNetV2/04256520/d835768fc0cc3300ccda8d28b44378b7, 0.0002883120202379795
ShapeNetV2/04256520/d83aea7de9d3d4242c37553db37ec752, 0.0005628907485839098
ShapeNetV2/04256520/d84ffaa12c52d6a9994626ba7fe8ddf7, 0.0001920778857982386
ShapeNetV2/04256520/d851b8a016cf114c742f75bc7df727ae, 0.0017099162254469356
ShapeNetV2/04256520/d863bd46db86b9dc2906e6acfda251cd, 0.005766774334020144
ShapeNetV2/04256520/d8751c7d4156c98ef09df371fae9d63d, 0.0003882656335766181
ShapeNetV2/04256520/d87a4ae5c2a768d4283b00891f680579, 0.0009469542771264152
ShapeNetV2/04256520/d8a5ba127550669d55030a5efaf6babc, 0.00022378750597502504
ShapeNetV2/04256520/d8c748ced5e5f2cc7e3820d17093b7c2, 0.003322233752250175
ShapeNetV2/04256520/d97b919139287ace7842a9c47d0b96c6, 0.0004504482325300183
ShapeNetV2/04256520/d98731f20d3de9c4d9b53420a5458c53, 0.01166886607254008
ShapeNetV2/04256520/d992ee06ffa2455219eb0cf70882af88, 0.00015333051210562605
ShapeNetV2/04256520/d9acd27e2a9b12d3ae685ca100c909e8, 0.0008378485463649101
ShapeNetV2/04256520/d9bb77735ff0963ae7e684d25d4dcaf0, 0.0018614416402450821
ShapeNetV2/04256520/d9d61f08002dfae421cfc6e95839d798, 0.00032290862081170077
ShapeNetV2/04256520/d9ed3fd60f4d42aa5f75bf17509b9bf8, 0.0002737883828600535
